,SPX Index,TSLA US Equity,AAPL US Equity,NKE US Equity,AMZN US Equity,WMT US Equity,KO US Equity,XAU Curncy,CL1 Comdty,USGG10YR Index,USGG2YR Index
29 Mar 2017,2361.13,55.476,36.03,56.68,43.716,70.74,42.42,1253.45,49.51,2.3765,1.2698
30 Mar 2017,2368.06,55.584,35.983,56.04,43.817,71.59,42.6,1242.64,50.35,2.4197,1.2818
31 Mar 2017,2362.72,55.66,35.915,55.73,44.327,72.08,42.44,1249.2,50.6,2.3874,1.254
3 Apr 2017,2358.84,59.704,35.925,55.56,44.576,71.83,42.41,1253.5,50.24,2.3193,1.2261
4 Apr 2017,2360.16,60.74,36.193,55.04,45.342,72.01,42.68,1256.28,51.03,2.3605,1.252
5 Apr 2017,2352.95,59,36.005,54.98,45.464,71.65,42.57,1255.76,51.15,2.3354,1.234
6 Apr 2017,2357.49,59.74,35.915,55.14,44.914,71.43,42.67,1251.7,51.7,2.3408,1.2379
7 Apr 2017,2355.54,60.508,35.835,55.11,44.744,72.9,42.61,1254.53,52.24,2.3822,1.2862
10 Apr 2017,2357.16,62.478,35.793,54.9,45.352,73.06,42.69,1254.68,53.08,2.3661,1.2741
11 Apr 2017,2353.78,61.742,35.408,54.92,45.118,73.43,42.66,1274.86,53.4,2.2962,1.2338
12 Apr 2017,2344.93,59.368,35.45,55.57,44.812,73.44,42.94,1286.78,53.11,2.2392,1.2015
13 Apr 2017,2328.95,60.8,35.263,55.34,44.234,73.15,42.79,1287.92,53.18,2.2374,1.2053
14 Apr 2017,2328.95,60.8,35.263,55.34,44.234,73.15,42.79,1285.69,53.18,2.2374,1.2053
17 Apr 2017,2349.01,60.288,35.458,56.24,45.1,73.49,43.07,1284.71,52.65,2.2498,1.2011
18 Apr 2017,2342.19,60.05,35.3,56.11,45.189,73.89,43.48,1289.76,52.41,2.1682,1.1604
19 Apr 2017,2338.17,61.104,35.17,55.86,44.96,74.07,43.23,1280.21,50.44,2.2143,1.1766
20 Apr 2017,2355.84,60.502,35.61,56.4,45.103,74.8,43.09,1281.9,50.27,2.232,1.1846
21 Apr 2017,2348.69,61.12,35.568,55.85,44.927,74.94,43.07,1284.44,49.62,2.248,1.1802
24 Apr 2017,2374.15,61.606,35.91,55.47,45.371,74.78,43.28,1276.31,49.23,2.273,1.2294
25 Apr 2017,2388.61,62.758,36.133,55.45,45.381,75.05,43.11,1264.13,49.56,2.3322,1.2704
26 Apr 2017,2387.45,62.034,35.92,55.16,45.465,75.43,43.24,1269.22,49.62,2.3035,1.2717
27 Apr 2017,2388.77,61.726,35.948,55.47,45.919,75.44,43.01,1264.3,48.97,2.2946,1.2579
